beta,se,lb95,ub95,lb90,ub90,rn
-.33376828,.055840828,-.44321629,-.22432025,-.42562643,-.2419101,treat
0,,,,,,1973b.birthyear
-.12230458,.10148957,-.32122412,.076614968,-.28925493,.044645753,1975.birthyear
.15383768,.10367829,-.049371764,.35704711,-.016713103,.32438844,1977.birthyear
.047411568,.10311212,-.15468821,.24951133,-.12220788,.21703102,1979.birthyear
0,,,,,,1b.edu
.15567313,.085402943,-.011716649,.3230629,.015185279,.29616097,2.edu
.40552247,.091687106,.22581574,.58522922,.25469717,.55634773,3.edu
0,,,,,,1b.work
.095717676,.10210942,-.10441677,.29585212,-.072252311,.26368767,2.work
.52421087,.11026498,.30809152,.74033022,.342825,.70559675,3.work
.32435107,.10809793,.11247913,.53622299,.14652997,.50217217,4.work
