rank,name,birthyear,begin,female,education,edu,edu_year,nation,eth_han,birth_prov,birth_city,purge,fwhr1,mouth_width,nose_width,nose_length,nwhr,eyebrow_position,foreheadr,lip_thickness,eyesize,chin_length,chin_width,flength,gdp,connections,attractiveness,competence,aggressiveness,trustworthiness,latitude,longitude,weighted_avg_gdp_growth_rate,weighted_avg_gdp,weighted_avg_fiscal_growth_rate,weighted_avg_fiscal_revenue,avg_gdp_growth_rate_t_plus_2,avg_fiscal_growth_rate_t_plus_2
1,丁大卫,1955/12/1,2002/12/1,0,硕士,2,18,汉族,1,江苏省,无锡市,0,2.437307713,0.324869329,0.163851095,0.262721941,0.623667345,0.127823884,0.261400425,0.080513107,0.104524598,0.200550612,-0.379950525,0.332647728,0.007375929,13.09315068,2.525554776,2.870133638,2.463317513,3.248657107,31.5776626,120.2952752,0.160377498,337.3355155,0.223292345,28458.85617,0.328291299,0.30024154
1,丁小强,1972/12/1,2012/7/1,0,博士,2,22,汉族,1,江苏省,盐城市,0,2.406336447,0.288912014,0.155319436,0.265613677,0.58475692,0.13495551,0.264970992,0.085614014,0.099443452,0.181482667,-0.384704832,0.33962908,-0.007258312,0,2.974477291,3.699411988,2.81377995,3.497127533,33.349559,120.1577019,0.085954036,122.6698444,0.108543951,8322.653489,0.238394321,0.284618855
1,丁巍,1957/4/1,2008/3/1,0,硕士,2,18,汉族,1,山西省,晋城市,0,2.426169412,0.323216012,0.168554143,0.271475437,0.620881742,0.143117314,0.26323395,0.08892274,0.109080703,0.181262422,-0.402043908,0.345778951,-0.010492698,0,2.581427097,3.154444039,3.040289104,3.062820375,35.4913132,112.8454497,0.098393983,107.0017895,0.147916557,5950.890021,0.209645161,0.334150587
1,丁巨胜,1967/2/1,2017/4/1,0,博士,2,22,汉族,1,甘肃省,白银市,0,2.435785754,0.313101184,0.158823073,0.270673525,0.586769884,0.150581127,0.261033294,0.084502839,0.098712582,0.191666003,-0.386497269,0.331980258,0.052258418,0,2.506158988,2.566865126,3.008995454,2.909322023,36.5451563,104.1355419,0.122381465,26.86230368,0.073100711,1986.198,0.350345932,0.061029924
1,丁海中,1951/4/1,2001/4/1,0,本科,1,16,汉族,1,江苏省,宿迁市,0,2.329314014,0.287001425,0.151887464,0.271331909,0.559784749,0.127297009,0.259438464,0.09002849,0.097079772,0.188603989,-0.371331909,0.351460114,0.077384845,0,3.109450102,3.406901836,2.76885581,3.45712769,33.9644701,118.2696994,0.231744982,37.93592538,0.29922471,3899.344286,0.749078981,0.746369173
1,丁福浩,1961/11/1,2017/1/1,0,博士,2,22,汉族,1,河南省,郑州市,0,2.202712666,0.29618726,0.167299124,0.275611096,0.607011568,0.128832988,0.251038167,0.081889823,0.094531586,0.191726323,-0.372993547,0.355725892,0.092110181,0,2.820889473,2.974392176,2.918930531,2.935607851,34.7487244,113.6191483,0.154162064,280.4702422,0.091391395,13770.186,,0.260149537
1,丁红都,1965/1/1,2017/4/1,0,硕士,2,18,汉族,1,河南省,洛阳市,0,2.468189485,0.285871374,0.155513702,0.263383087,0.590446801,0.141149474,0.256527766,0.088707998,0.094628127,0.185226613,-0.374202326,0.332684169,-0.014144179,0,3.060736497,3.146542231,2.896821896,2.828118165,34.6196539,112.4477046,0.052619968,103.3733364,0.043526372,7794.472,0.141486787,0.088322426
1,丁纯,1970/10/1,2017/2/1,0,博士,2,22,汉族,1,江苏省,无锡市,0,2.343685294,0.278621434,0.159271687,0.26356189,0.604304693,0.133284664,0.258730824,0.090001214,0.092443512,0.193163423,-0.371193338,0.334640184,-0.014469393,2.830136986,3.242927134,3.33757323,2.875564396,3.240924537,31.5776626,120.2952752,0.057488443,702.3183333,0.085433034,31116.81018,0.118221569,0.171275894
1,丁耀民,1948/7/1,1998/12/1,0,硕士,2,18,汉族,1,黑龙江省,哈尔滨市,0,2.401709402,0.290123457,0.157407407,0.262345679,0.6,0.111111111,0.268123105,0.083333333,0.097222222,0.194444444,-0.413580247,0.361111111,0.006482631,0,2.543376446,2.34302187,2.759658575,2.713310957,45.7593633,126.6276177,0.172287364,17.52797,,,,
1,丁解民,1951/10/1,1996/9/1,0,硕士,2,18,汉族,1,江苏省,泰州市,0,2.409736308,0.32183908,0.175287356,0.290229885,0.603960396,0.110632184,0.239133432,0.081896552,0.105603448,0.191091954,-0.390804598,0.354166667,-0.009682244,0,2.279784203,3.1828233,2.558013439,3.037813902,32.4579729,119.9181174,0.14378601,51.21461131,0.310855616,3790.78,0.34288111,0.981969407
1,丁雪峰,1963/9/1,2012/1/1,0,硕士,2,18,汉族,1,山西省,大同市,1,2.36607764,0.276691483,0.151666254,0.264934336,0.572467338,0.164091848,0.259513726,0.087493533,0.093443604,0.187012057,-0.359708513,0.323862597,-0.027503674,0,2.779272636,3.150856018,2.842804193,3.041967869,40.0919817,113.2951122,-0.001474623,122.95087,0.155188726,15296.355,-0.104899246,-0.079889904
1,万新恒,1972/12/1,2015/1/1,0,博士,2,22,汉族,1,湖北省,黄冈市,0,2.201392387,0.289768013,0.152265952,0.271483861,0.560865577,0.143388251,0.253320174,0.097217528,0.093859581,0.15552139,-0.356653461,0.353211686,-0.025077059,0,2.55057171,3.031073153,3.004817605,2.979875028,30.4560187,114.8673226,0.083507963,35.8284325,0.022167544,2276.7675,0.180620637,0.127224061
1,上官吉庆,1963/3/1,2011/12/1,0,硕士,2,18,汉族,1,陕西省,咸阳市,0,2.315571479,0.303980846,0.160988228,0.269883078,0.59651101,0.128792737,0.256989462,0.087113832,0.101795025,0.180864484,-0.379700922,0.357007611,0.006121471,1.747945205,2.879079739,3.212150256,2.859787464,3.05295531,34.3312012,108.7043813,0.113572677,351.1943443,0.108284518,25779.90476,0.238132741,0.215491535
