beta,se,lb95,ub95,lb90,ub90,rn
.24903244,.052521285,.14609072,.35197416,.16263492,.33542994,treat
0,,,,,,1973b.birthyear
.076191038,.095725574,-.11143108,.26381317,-.081277527,.23365961,1975.birthyear
.063040048,.087184057,-.10784069,.2339208,-.08037772,.20645781,1977.birthyear
.1002637,.10281832,-.10126021,.30178761,-.068872437,.26939982,1979.birthyear
0,,,,,,1b.edu
.32338506,.076710902,.17303169,.47373843,.19719562,.4495745,2.edu
.56387001,.080450416,.40618721,.72155285,.43152907,.69621098,3.edu
0,,,,,,1b.work
.18888414,.094023481,.004598116,.37317017,.034215514,.34355277,2.work
.53145427,.099549986,.33633631,.72657228,.36769456,.69521403,3.work
.47970518,.10123653,.28128159,.67812878,.31317109,.64623928,4.work
