id,path,aggressiveness,competence,trustworthiness,attractivenss,selection,control_diff,target_diff
853,/Users/yangsongpo/Desktop/官员研究/survey/survey数据/第四次4000照片/数据处理/100+25/第一次（重新训练）+修改背景/resnext50/validation/simulated_selected/part1_trustworthy_top_3000/04/headshot_0_1.jpg,2.773326635,4.195474625,4.303676605,3.360363483,trustworthy_high2,,
4601,/Users/yangsongpo/Desktop/官员研究/survey/survey数据/第四次4000照片/数据处理/100+25/第一次（重新训练）+修改背景/resnext50/validation/simulated_selected/part7_aggressive_bot_3000/generated-06-08-2024_04-46-51-0-mr/headshot_7_4.jpg,2.779484987,4.18285799,3.384288073,3.425039053,trustworthy_low2,0.083450556,0.919388533
4457,/Users/yangsongpo/Desktop/官员研究/survey/survey数据/第四次4000照片/数据处理/100+25/第一次（重新训练）+修改背景/resnext50/validation/simulated_selected/part7_aggressive_bot_3000/generated-06-08-2024_04-39-14-0-mr/headshot_5_4.jpg,3.061186552,3.883565664,4.474581718,3.133705616,trustworthy_high14,,
2086,/Users/yangsongpo/Desktop/官员研究/survey/survey数据/第四次4000照片/数据处理/100+25/第一次（重新训练）+修改背景/resnext50/validation/simulated_selected/part4_smart_bot_3000/no10/headshot_7_6.jpg,3.073367834,3.718115807,3.030399323,3.129979134,trustworthy_low14,0.181357622,1.444182396
1932,/Users/yangsongpo/Desktop/官员研究/survey/survey数据/第四次4000照片/数据处理/100+25/第一次（重新训练）+修改背景/resnext50/validation/simulated_selected/part3_smart_top_3000/generated-06-08-2024_03-04-45-0-mr/headshot_5_6.jpg,3.057546377,4.274914265,4.213035107,4.166297913,beauty_high5,,
4313,/Users/yangsongpo/Desktop/官员研究/survey/survey数据/第四次4000照片/数据处理/100+25/第一次（重新训练）+修改背景/resnext50/validation/simulated_selected/part7_aggressive_bot_3000/generated-06-08-2024_04-32-33-0-mr/headshot_3_4.jpg,2.99645853,4.269643784,4.172076702,2.704631567,beauty_low5,0.107316732,1.461666346
1497,/Users/yangsongpo/Desktop/官员研究/survey/survey数据/第四次4000照片/数据处理/100+25/第一次（重新训练）+修改背景/resnext50/validation/simulated_selected/part3_smart_top_3000/generated-06-08-2024_03-02-58-0-mr/headshot_7_3.jpg,2.705397606,3.955537796,3.926472187,3.893364906,beauty_high10,,
2944,/Users/yangsongpo/Desktop/官员研究/survey/survey数据/第四次4000照片/数据处理/100+25/第一次（重新训练）+修改背景/resnext50/validation/simulated_selected/part5_beauty_top_3000/5/headshot_3_0.jpg,2.712693691,4.018915176,3.992628574,2.569635868,beauty_low10,0.136829853,1.323729038
1424,/Users/yangsongpo/Desktop/官员研究/survey/survey数据/第四次4000照片/数据处理/100+25/第一次（重新训练）+修改背景/resnext50/validation/simulated_selected/part3_smart_top_3000/generated-06-08-2024_03-02-29-0-mr/headshot_6_2.jpg,3.009098291,4.543900013,3.917614698,3.1396873,smart_high1,,
4748,/Users/yangsongpo/Desktop/官员研究/survey/survey数据/第四次4000照片/数据处理/100+25/第一次（重新训练）+修改背景/resnext50/validation/simulated_selected/part8_aggressive_top_3000/generated-06-08-2024_03-03-53-0-mr/headshot_0_5.jpg,2.957612276,3.369089603,3.882583141,3.140383959,smart_low1,0.087214231,1.17481041
1592,/Users/yangsongpo/Desktop/官员研究/survey/survey数据/第四次4000照片/数据处理/100+25/第一次（重新训练）+修改背景/resnext50/validation/simulated_selected/part3_smart_top_3000/generated-06-08-2024_03-03-40-0-mr/headshot_3_2.jpg,3.25945735,4.545303345,4.203980923,3.759148598,smart_high19,,
1168,/Users/yangsongpo/Desktop/官员研究/survey/survey数据/第四次4000照片/数据处理/100+25/第一次（重新训练）+修改背景/resnext50/validation/simulated_selected/part1_trustworthy_top_3000/08/headshot_7_4.jpg,3.159339666,3.568212986,4.20447588,3.709321976,smart_low19,0.150439262,0.977090359
2540,/Users/yangsongpo/Desktop/官员研究/survey/survey数据/第四次4000照片/数据处理/100+25/第一次（重新训练）+修改背景/resnext50/validation/simulated_selected/part4_smart_bot_3000/no9/headshot_0_4.jpg,3.697253227,3.582569122,3.508613825,3.178132534,aggressive_high7,,
4398,/Users/yangsongpo/Desktop/官员研究/survey/survey数据/第四次4000照片/数据处理/100+25/第一次（重新训练）+修改背景/resnext50/validation/simulated_selected/part7_aggressive_bot_3000/generated-06-08-2024_04-34-20-0-mr/headshot_6_1.jpg,2.421649218,3.610651255,3.548774958,3.163933992,aggressive_low7,0.082441807,1.27560401
4696,/Users/yangsongpo/Desktop/官员研究/survey/survey数据/第四次4000照片/数据处理/100+25/第一次（重新训练）+修改背景/resnext50/validation/simulated_selected/part8_aggressive_top_3000/generated-06-08-2024_03-03-32-0-mr/headshot_2_1.jpg,3.425398827,3.922364712,3.655884981,2.998711348,aggressive_high12,,
1458,/Users/yangsongpo/Desktop/官员研究/survey/survey数据/第四次4000照片/数据处理/100+25/第一次（重新训练）+修改背景/resnext50/validation/simulated_selected/part3_smart_top_3000/generated-06-08-2024_03-02-58-0-mr/headshot_2_4.jpg,2.415501118,3.847290039,3.696120024,3.003991604,aggressive_low12,0.120589972,1.009897709
