beta,se,lb95,ub95,lb90,ub90,rn
-.017087717,.054704919,-.12430936,.090133928,-.10707731,.072901875,treat
0,,,,,,1973b.birthyear
-.0048419209,.10673837,-.21404912,.20436527,-.18042652,.17074269,1975.birthyear
.071726739,.11065806,-.14516304,.28861654,-.11030576,.25375924,1977.birthyear
.018423434,.11678442,-.21047403,.24732091,-.17368694,.21053381,1979.birthyear
0,,,,,,1b.edu
.1238052,.093589135,-.059629507,.30723989,-.030148931,.27775931,2.edu
.37458885,.10223851,.17420137,.57497633,.2064065,.54277122,3.edu
0,,,,,,1b.work
.13739507,.11048551,-.079156533,.35394666,-.044353597,.31914374,2.work
.42937136,.12311188,.18807207,.67067063,.22685231,.63189042,3.work
.45368436,.11698778,.22438832,.68298042,.26123947,.64612925,4.work
