beta,se,lb95,ub95,lb90,ub90,rn
.31199715,.050944898,.21214513,.41184914,.22819278,.39580148,treat
0,,,,,,1973b.birthyear
.23533317,.09879411,.04169672,.42896962,.072816864,.39784947,1975.birthyear
.11291056,.09215077,-.067704953,.29352608,-.038677458,.26449859,1977.birthyear
.21308547,.094999984,.026885498,.39928544,.056810495,.36936045,1979.birthyear
0,,,,,,1b.edu
.34755707,.077503495,.19565022,.49946392,.22006382,.4750503,2.edu
.30900702,.084226258,.14392355,.47409046,.17045482,.44755921,3.edu
0,,,,,,1b.work
.034489691,.10063443,-.16275379,.23173317,-.13105394,.20003332,2.work
.43652639,.098514594,.24343777,.62961501,.27446985,.59858286,3.work
.36538339,.090946577,.18712808,.54363865,.21577625,.51499051,4.work
